Site Name,Pulse Name,Date Used,Window Start,Window End,Earliest Rec,Total Recordings in Window,Total Insect 30 Calls Present,Ratio Insect 30,Total Insect 31 Calls Present,Ratio Insect 31,Total Insect 32 Calls Present,Ratio Insect 32,Total Insect 33 Calls Present,Ratio Insect 33,Total Recordings All Types,Total Insect Calls Present All Types,Ratio All Types
2017 Rush Ranch,2017 Rush Ranch p1,Hatch,2017-05-01,2017-05-12,2017-05-01,864,0,0.0,5,0.0058,18,0.0208,8,0.0093,864,25,0.0289
2017 Rush Ranch,2017 Rush Ranch p2,Hatch,2017-05-30,2017-06-10,2017-05-30,750,0,0.0,47,0.0627,77,0.1027,49,0.0653,750,140,0.1867
2017 Rush Ranch,2017 Rush Ranch p3,Hatch,2017-06-29,2017-07-10,2017-06-29,598,0,0.0,6,0.01,66,0.1104,35,0.0585,598,97,0.1622
2018 Rush Ranch,2018 Rush Ranch p1,Hatch,2018-05-25,2018-06-05,2018-05-25,1041,0,0.0,46,0.0442,121,0.1162,8,0.0077,1041,139,0.1335
2020 Creed Road,2020 Creed Road p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2020 Rush Ranch,2020 Rush Ranch p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2018 Iron Point,2018 Iron Point p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2018 Red Wing Ranch,2018 Red Wing Ranch p1,Hatch,2018-05-17,2018-05-28,2018-05-17,864,2,0.0023,16,0.0185,54,0.0625,12,0.0139,864,69,0.0799
2018 Markham Ravine Main,2018 Markham Ravine Main p1,Hatch,2018-07-01,2018-07-12,2018-07-01,558,6,0.0108,1,0.0018,4,0.0072,0,0.0,558,10,0.0179
2018 Markham Ravine westside,2018 Markham Ravine westside p1,n/a,pre,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2018 SJWA-rose-2,2018 SJWA-rose-2 p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2019 Creed Road,2019 Creed Road p1,Hatch,2019-05-10,2019-05-21,2019-05-10,888,0,0.0,0,0.0,0,0.0,0,0.0,888,0,0.0
2019 Creed Road,2019 Creed Road p2,Hatch,2019-05-31,2019-06-11,2019-05-31,888,1,0.0011,22,0.0248,73,0.0822,119,0.134,888,185,0.2083
2019 Hay Landfill,2019 Hay Landfill p1,Hatch,2019-04-27,2019-05-08,2019-04-27,891,0,0.0,0,0.0,0,0.0,0,0.0,891,0,0.0
2019 Hay Landfill,2019 Hay Landfill p2,Hatch,2019-06-09,2019-06-20,2019-06-09,890,14,0.0157,3,0.0034,25,0.0281,4,0.0045,890,44,0.0494
2019 Leisure Town,2019 Leisure Town p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2019 Leisure Town,2019 Leisure Town p2,Hatch,2019-06-04,2019-06-15,2019-06-04,865,0,0.0,30,0.0347,159,0.1838,28,0.0324,865,161,0.1861
2019 Iron Point,2019 Iron Point p1,Hatch,2019-05-03,2019-05-14,2019-05-03,860,0,0.0,0,0.0,2,0.0023,0,0.0,860,2,0.0023
2019 Markham Ravine,2019 Markham Ravine p1,Hatch,2019-05-28,2019-06-08,2019-05-28,864,0,0.0,2,0.0023,20,0.0231,7,0.0081,864,28,0.0324
2019 Rush Ranch,2019 Rush Ranch p1,Hatch,2019-05-17,2019-05-28,2019-05-17,864,0,0.0,10,0.0116,66,0.0764,6,0.0069,864,75,0.0868
2019 Markham Ravine 2,2019 Markham Ravine 2 p1,Hatch,2019-05-31,2019-06-11,2019-05-31,864,4,0.0046,50,0.0579,135,0.1562,56,0.0648,864,185,0.2141
2019 Colusa NWR 27-1,2019 Colusa NWR 27-1 p1,Hatch,2019-06-12,2019-06-23,2019-06-12,865,8,0.0092,4,0.0046,5,0.0058,0,0.0,865,14,0.0162
2019 Colusa NWR 27-2,2019 Colusa NWR 27-2 p1,Hatch,2019-05-28,2019-06-08,2019-05-28,796,0,0.0,0,0.0,0,0.0,0,0.0,796,0,0.0
2020 Hay Landfill,2020 Hay Landfill p1,Hatch,2020-04-27,2020-05-08,2020-04-27,444,0,0.0,0,0.0,1,0.0023,0,0.0,444,1,0.0023
2020 Hay Landfill,2020 Hay Landfill p2,Hatch,2020-06-03,2020-06-14,2020-06-03,444,0,0.0,1,0.0023,1,0.0023,3,0.0068,444,4,0.009
2020 Markham Ravine,2020 Markham Ravine p1,Hatch,2020-05-19,2020-05-30,2020-05-19,444,3,0.0068,3,0.0068,14,0.0315,5,0.0113,444,20,0.045
2020 Iron Point,2020 Iron Point p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2020 Conaway Ranch,2020 Conaway Ranch p1,Hatch,2020-06-06,2020-06-17,2020-06-06,444,0,0.0,6,0.0135,12,0.027,18,0.0405,444,26,0.0586
2021 Sedgwick,2021 Sedgwick p1,Hatch,2021-04-28,2021-05-09,2021-04-28,289,0,0.0,1,0.0035,11,0.0381,0,0.0,289,11,0.0381
2021 Hay Landfill,2021 Hay Landfill p1,Hatch,2021-04-24,2021-05-05,2021-04-24,273,0,0.0,1,0.0037,6,0.022,0,0.0,273,6,0.022
2020 Ohlone - Santa Lucia Preserve,2020 Ohlone - Santa Lucia Preserve p1,Hatch,2020-05-04,2020-05-15,2020-05-04,444,0,0.0,0,0.0,1,0.0023,8,0.018,444,9,0.0203
2021 Plumas Arboga,2021 Plumas Arboga p1,Hatch,2021-05-26,2021-06-06,2021-05-26,686,0,0.0,0,0.0,0,0.0,3,0.0044,686,3,0.0044
2021 Foley Ranch,2021 Foley Ranch p1,Hatch,2021-05-12,2021-05-23,2021-05-12,864,0,0.0,0,0.0,4,0.0046,1,0.0012,864,5,0.0058
2021 Foley Ranch,2021 Foley Ranch p2,Hatch,2021-06-12,2021-06-23,2021-06-12,186,0,0.0,13,0.0699,22,0.1183,20,0.1075,186,38,0.2043
2021 Creed Road,2021 Creed Road p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2021 Hale Road 2,2021 Hale Road 2 p1,Hatch,2021-05-14,2021-05-25,2021-05-14,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2021 Rancho Jamul,2021 Rancho Jamul p1,Hatch,2021-05-09,2021-05-20,2021-05-10,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2021 Dagnino Pond,2021 Dagnino Pond p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2021 Colusa NWR 27-1,2021 Colusa NWR 27-1 p1,Hatch,2021-06-04,2021-06-15,2021-06-04,1695,0,0.0,23,0.0136,54,0.0319,0,0.0,1695,67,0.0395
2021 Colusa NWR 27-2,2021 Colusa NWR 27-2 p1,Hatch,2021-06-15,2021-06-26,2021-06-15,781,0,0.0,21,0.0269,53,0.0679,0,0.0,781,60,0.0768
2021 Rodeo Grounds 1,2021 Rodeo Grounds 1 p1,Hatch,2021-05-02,2021-05-13,2021-05-02,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2021 Panoche Creek Preserve 2E,2021 Panoche Creek Preserve 2E p1,Hatch,2021-04-30,2021-05-11,2021-04-30,864,0,0.0,18,0.0208,76,0.088,5,0.0058,864,85,0.0984
2021 Panoche Creek Preserve 1W,2021 Panoche Creek Preserve 1W p1,Hatch,2021-05-02,2021-05-13,2021-05-02,864,0,0.0,30,0.0347,120,0.1389,6,0.0069,864,130,0.1505
2021 Orchard Creek,2021 Orchard Creek p1,Hatch,2021-05-01,2021-05-12,2021-05-01,864,0,0.0,3,0.0035,15,0.0174,1,0.0012,864,19,0.022
2021 Orchard Creek,2021 Orchard Creek p2,Hatch,2021-05-24,2021-06-04,2021-05-24,864,64,0.0741,0,0.0,4,0.0046,2,0.0023,864,65,0.0752
2021 Willey Wetlands 3,2021 Willey Wetlands 3 p1,Fledge,2021-06-13,2021-06-24,2021-06-13,864,0,0.0,0,0.0,111,0.1285,0,0.0,864,111,0.1285
2021 Kern 2,2021 Kern 2 p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2021 Rush Ranch,2021 Rush Ranch p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2021 Kern 1,2021 Kern 1 p1,Hatch,2021-05-31,2021-06-11,2021-05-31,864,0,0.0,5,0.0058,7,0.0081,0,0.0,864,10,0.0116
2021 Kern 3,2021 Kern 3 p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2021 Conaway South,2021 Conaway South p1,Hatch,2021-06-10,2021-06-21,2021-06-10,864,1,0.0012,16,0.0185,58,0.0671,103,0.1192,864,153,0.1771
2021 Reeds Creek South,2021 Reeds Creek South p1,Hatch,2021-05-18,2021-05-29,2021-05-18,184,0,0.0,0,0.0,0,0.0,0,0.0,184,0,0.0
2021 Kern 4,2021 Kern 4 p1,Hatch,2021-05-08,2021-05-19,2021-05-08,864,0,0.0,4,0.0046,83,0.0961,25,0.0289,864,108,0.125
2021 Wind Wolves Preserve,2021 Wind Wolves Preserve p1,Hatch,2021-05-14,2021-05-25,2021-05-14,365,0,0.0,0,0.0,15,0.0411,0,0.0,365,15,0.0411
2021 SJWA,2021 SJWA p1,Hatch,2021-06-15,2021-06-26,2021-06-15,864,7,0.0081,56,0.0648,36,0.0417,14,0.0162,864,92,0.1065
2021 Markham Ravine,2021 Markham Ravine p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2021 Kern 5,2021 Kern 5 p1,Hatch,2021-04-30,2021-05-11,2021-04-30,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2021 Kern 5,2021 Kern 5 p2,Hatch,2021-05-28,2021-06-08,2021-05-28,864,0,0.0,0,0.0,1,0.0012,4,0.0046,864,5,0.0058
2021 Kern 6,2021 Kern 6 p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2021 Kern 7,2021 Kern 7 p1,Hatch,2021-05-31,2021-06-11,2021-05-31,864,0,0.0,0,0.0,2,0.0023,0,0.0,864,2,0.0023
2022 WA1,2022 WA1 p1,n/a,pre,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2022 OR1,2022 OR1 p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2022 Hay Landfill,2022 Hay Landfill p1,Hatch,2022-04-12,2022-04-23,2022-04-12,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2022 Hay Landfill,2022 Hay Landfill p2,Hatch,2022-05-17,2022-05-28,2022-05-17,864,0,0.0,2,0.0023,11,0.0127,25,0.0289,864,36,0.0417
2022 WA Harder Spring,2022 WA Harder Spring p1,Hatch,2022-05-17,2022-05-28,2022-05-17,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2022 WA Harder Spring,2022 WA Harder Spring p2,Hatch,2022-06-07,2022-06-18,2022-06-07,864,0,0.0,0,0.0,0,0.0,34,0.0394,864,34,0.0394
2022 Sedgwick,2022 Sedgwick p1,Hatch,2022-04-14,2022-04-25,2022-04-14,864,0,0.0,2,0.0023,14,0.0162,9,0.0104,864,24,0.0278
2022 Sedgwick,2022 Sedgwick p2,Hatch,2022-05-22,2022-06-02,2022-05-22,864,0,0.0,5,0.0058,45,0.0521,41,0.0475,864,77,0.0891
2022 Plumas Arboga East,2022 Plumas Arboga East p1,Fledge,2022-05-01,2022-05-12,2022-05-04,1218,0,0.0,0,0.0,0,0.0,0,0.0,1218,0,0.0
2022 Plumas Arboga East,2022 Plumas Arboga East p2,Hatch,2022-05-22,2022-06-02,2022-05-22,1728,0,0.0,0,0.0,0,0.0,0,0.0,1728,0,0.0
2022 Colusa NWR T27.1,2022 Colusa NWR T27.1 p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2022 Rancho Jamul,2022 Rancho Jamul p1,Hatch,2022-04-13,2022-04-24,2022-04-13,864,0,0.0,0,0.0,1,0.0012,0,0.0,864,1,0.0012
2022 SJWA,2022 SJWA p1,Hatch,2022-05-26,2022-06-06,2022-05-26,864,0,0.0,47,0.0544,23,0.0266,5,0.0058,864,63,0.0729
2022 Paicines Ranch - Teal Pond,2022 Paicines Ranch - Teal Pond p1,Hatch,2022-04-22,2022-05-03,2022-04-22,864,0,0.0,52,0.0602,248,0.287,33,0.0382,864,283,0.3275
2022 OR2,2022 OR2 p1,Hatch,2022-05-16,2022-05-27,2022-05-16,1728,0,0.0,0,0.0,0,0.0,0,0.0,1728,0,0.0
2022 Newberry Springs - Lake Wainani,2022 Newberry Springs - Lake Wainani p1,n/a,pre,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2022 Marsh Creek Reservoir,2022 Marsh Creek Reservoir p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2022 Laguna Seca,2022 Laguna Seca p1,Hatch,2022-04-15,2022-04-26,2022-04-15,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2022 Laguna Seca,2022 Laguna Seca p2,Hatch,2022-05-25,2022-06-05,2022-05-25,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2022 Creed Road,2022 Creed Road p1,Hatch,2022-04-15,2022-04-26,2022-04-15,864,0,0.0,1,0.0012,2,0.0023,0,0.0,864,2,0.0023
2022 Colusa NWR T27.2,2022 Colusa NWR T27.2 p1,Hatch,2022-05-31,2022-06-11,2022-05-31,864,5,0.0058,76,0.088,105,0.1215,13,0.015,864,136,0.1574
2022 Wind Wolves Preserve Santiago Wetlands,2022 Wind Wolves Preserve Santiago Wetlands p1,Hatch,2022-04-20,2022-05-01,2022-04-20,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2022 Wind Wolves Preserve Pleitito Creek,2022 Wind Wolves Preserve Pleitito Creek p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2022 Ohlone - Santa Lucia Preserve,2022 Ohlone - Santa Lucia Preserve p1,Hatch,2022-05-02,2022-05-13,2022-05-02,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2022 Conaway New Easement Pond West,2022 Conaway New Easement Pond West p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2022 Conaway North,2022 Conaway North p1,Hatch,2022-05-21,2022-06-01,2022-05-21,1728,0,0.0,3,0.0017,19,0.011,47,0.0272,1728,66,0.0382
2022 Conaway East,2022 Conaway East p1,Hatch,2022-05-23,2022-06-03,2022-05-23,1728,0,0.0,13,0.0075,29,0.0168,57,0.033,1728,77,0.0446
2022 Los Vaqueros Reservoir,2022 Los Vaqueros Reservoir p1,Hatch,2022-04-19,2022-04-30,2022-04-19,864,0,0.0,36,0.0417,131,0.1516,19,0.022,864,143,0.1655
2022 Foley Ranch A,2022 Foley Ranch A p1,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2022 Panoche Creek Preserve Loc5,2022 Panoche Creek Preserve Loc5 p1,Hatch,2022-04-20,2022-05-01,2022-04-20,864,0,0.0,45,0.0521,139,0.1609,26,0.0301,864,166,0.1921
2022 Private Site 1 - not real lat lon,2022 Private Site 1 - not real lat lon p1,Hatch,2022-04-30,2022-05-11,2022-04-30,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2022 Private Site 3 - not real lat lon,2022 Private Site 3 - not real lat lon p1,Fledge,2022-04-28,2022-05-09,2022-04-28,864,1,0.0012,0,0.0,5,0.0058,0,0.0,864,6,0.0069
2022 Private Site 2 - not real lat lon,2022 Private Site 2 - not real lat lon p1,Fledge,2022-04-14,2022-04-25,2022-04-19,458,0,0.0,2,0.0044,4,0.0087,8,0.0175,458,9,0.0197
2022 Baja 1,2022 Baja 1 p1,Hatch,2022-04-14,2022-04-25,2022-04-14,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2023 OR Eureka Rd,2023 OR Eureka Rd p1,Hatch,2023-05-19,2023-05-30,2023-05-19,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2023 WA McCain Wetlands,2023 WA McCain Wetlands p1,Hatch,2023-05-15,2023-05-26,2023-05-15,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2023 Baja Rancho Cinega,2023 Baja Rancho Cinega p1,Fledge,2023-04-17,2023-04-28,2023-04-17,864,0,0.0,0,0.0,0,0.0,0,0.0,864,0,0.0
2023 Baja Rancho Cinega,2023 Baja Rancho Cinega p2,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
2023 Baja Rancho Cinega,2023 Baja Rancho Cinega p3,n/a,ND,n/a,n/a,0,0,n/a,0,n/a,0,n/a,0,n/a,0,0,n/a
